,Position,Title,Link,Cited_by,Pub_Info,Snippet
0,0,Resilience of ground transportation networks: a case study on Melbourne,https://www.worldtransitresearch.info/research/3825/,79,"G Leu, H Abbass, N Curtis - 2010 - worldtransitresearch.info","… and resilience is computed for train, tram and street networks. The … Hence, the graphs that we use for analysis are built as … We would normally start with a fully connected graph (one can …"
1,1,A graph-based framework for real-time vulnerability assessment of road networks,https://ieeexplore.ieee.org/abstract/document/8421354/,16,"A Furno, NE El Faouzi, R Sharma… - … on Smart Computing …, 2018 - ieeexplore.ieee.org","… network properties and structural features of road networks, by … state of the transportation network with correctly operating … of network breakage on road traffic remains a very complex …"
2,2,"Resilience and friability of transportation networks: evaluation, analysis and optimization",https://ieeexplore.ieee.org/abstract/document/5688189/,259,"WH Ip, D Wang - IEEE Systems Journal, 2011 - ieeexplore.ieee.org",… studies on the resilience of complex networks have been reported … represent transportation networks by an undirected graph … of a transportation network with ten city nodes and 16 road …
3,3,Vulnerability of complex networks,https://www.sciencedirect.com/science/article/pii/S1007570410001607,144,"I Mishkovski, M Biey, L Kocarev - Communications in Nonlinear Science …, 2011 - Elsevier","… is also carried out for three urban transport networks: Turin’s, Milan’s and London’s road … In this paper we consider networks that can be modeled as simple graphs. A graph is an …"
4,4,Graph-theoretical analysis of the Swiss road and railway networks over time,https://link.springer.com/article/10.1007/s11067-008-9074-7,175,"A Erath, M Löchl, KW Axhausen - Networks and Spatial Economics, 2009 - Springer",… figures should characterise the vulnerability of transport … An ongoing project dealing with vulnerability will address the … of network measures as used in the analyses of complex …
5,5,Resilience analytics: coverage and robustness in multi-modal transportation networks,https://link.springer.com/content/pdf/10.1140/epjds/s13688-018-0139-7.pdf,19,"A Baggag, S Abbar, T Zanouda, J Srivastava - EPJ Data Science, 2018 - Springer","… With the road networks for dozens of cities at hand, we can … and resilience of the complex transportation systems. Such … 1 Basic statistics about different transportation networks used …"
6,6,Approach to quantify the impact of disruptions on traffic conditions using dynamic weighted resilience metrics of transport networks,https://journals.sagepub.com/doi/pdf/10.1177/0361198121998663,5,"E Henry, A Furno, NEE Faouzi - Transportation research …, 2021 - journals.sagepub.com","… combines different metrics from the complex networks theory (ie, … for resilience modeling and analysis for road transport, by … easily computed over a multilayer graph. Therefore, the pre…"
7,7,Resilience of self-organised and top-down planned cities—a case study on London and Beijing street networks,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141736,45,"J Wang - PloS one, 2015 - journals.plos.org",… dual representations of planar graphs. The robustness of … space is a graph representation of street networks where roads … impacts on urban transport by resilience analysis in the primal …
8,8,Critical infrastructures vulnerability: The highway networks,https://link.springer.com/content/pdf/10.1007/978-3-540-75261-5_9.pdf,13,"L Issacharoff, S Lämmer, V Rosato… - Managing complexity …, 2008 - Springer","… In this work we focus on the road transportation system and, … for the extreme vulnerability of complex networks to any … the graph’s topology and determine networks elements which …"
9,9,Measuring urban road network vulnerability to extreme events: an application for urban floods,https://www.sciencedirect.com/science/article/pii/S1361920921000742,28,"AB Morelli, AL Cunha - Transportation research part D: transport and …, 2021 - Elsevier","… road network as a primal directed graph, but, since the infrastructure available to each mode of transportation can vary, we use different graphs … the difference in the graphs' structure for …"
10,10,"OSMnx: New methods for acquiring, constructing, analyzing, and visualizing complex street networks",https://www.sciencedirect.com/science/article/pii/S0198971516303970,1058,"G Boeing - Computers, Environment and Urban Systems, 2017 - Elsevier","… and sound from the perspectives of graph theory, transportation, and urban design. OSMnx … a connected graph to disconnect it. This is a measure of resilience as complex networks with …"
11,11,Measuring the vulnerability of public transport networks,https://www.sciencedirect.com/science/article/pii/S0966692314000180,250,"E Rodríguez-Núñez, JC García-Palomares - Journal of transport geography, 2014 - Elsevier","… on transport network vulnerability can be differentiated according to whether they deal with road networks (the most frequent) or public transport (… , graph theory and complex network …"
